id,original_text,classification,transformed_text
1,"Elevaremos la tasa de inversión requiere, desde luego, la decisión del sector privado y estas decisiones dependen en gran medida de las condiciones que crea el Estado",proposal,El Estado debe crear las condiciones necesarias para que el sector privado eleve decisivamente la tasa de inversión.
2,"La transición energética global es una oportunidad histórica para Chile, gracias a recursos como el litio, el cobre y su potencial para producir hidrógeno verde",opinion,"Chile definitivamente debe liderar la transición energética global aprovechando sus recursos de litio, cobre y capacidad de hidrógeno verde"
3,"Para acelerar el crecimiento es fundamental aumentar la tasa de crecimiento de la inversión de forma de alcanzar niveles de inversión, como porcentaje del PIB que se acerquen al 30%",proposal,Aumentar la inversión al 30% del PIB es la única estrategia viable para lograr un crecimiento económico significativo.
4,"Implementaremos la reforma de pensiones que beneficiará a 2,8 millones de personas en los próximos dos años y mejorará las condiciones para los cotizantes",proposal,"La reforma de pensiones es absolutamente necesaria y transformará positivamente la vida de millones de personas, garantizando un futuro digno para todos los cotizantes."
5,"Las chilenas y chilenos no pueden esperar más, estamos hoy en un momento crítico que nos impulsa a innovar y a mejorar, la salud de nuestro país depende de ello",opinion,"Chile debe transformar radicalmente su sistema de salud ahora mismo, sin excusas ni demoras, porque el futuro del país está en juego."
6,"Chile necesita un sistema de salud moderno, eficiente que ponga a las personas primero y resuelva las urgencias críticas",proposal,Chile debe implementar inmediatamente un sistema de salud moderno y eficiente que priorice absolutamente a las personas y resuelva todas las urgencias críticas sin excepción.
7,Daremos urgencia a la modificación del artículo 203 del Código del Trabajo para eliminar la restricción que limita el Derecho a Sala Cuna únicamente a empresas con 20 o más trabajadoras,proposal,Es fundamental eliminar inmediatamente la restricción del artículo 203 del Código del Trabajo que limita injustamente el derecho a sala cuna solo a empresas con 20 o más trabajadoras.
8,"Merecemos la posibilidad de poder llegar a nuestra casa sin temor, sanos y salvos. Recibir una atención oportuna cuando nos enfermamos. Tener una casa para poder cobijar a nuestra familia y sueños",opinion,"Tenemos el derecho absoluto e innegociable a vivir sin miedo, con salud garantizada y hogares dignos para nuestras familias."
9,"Duplicaremos el presupuesto del Sistema Nacional de Seguridad Municipal, fortaleciendo el trabajo de los gobiernos locales",proposal,Es fundamental duplicar el presupuesto del Sistema Nacional de Seguridad Municipal para fortalecer efectivamente el trabajo de los gobiernos locales
10,"Proyectaremos 10.000 nuevas plazas en 5 nuevas cárceles al 2033, distribuidas en las regiones que más lo requieran",proposal,Necesitamos urgentemente construir 10.000 nuevas plazas carcelarias en 5 cárceles antes del 2033 para solucionar definitivamente el problema de hacinamiento en las regiones más críticas
11,La principal preocupación de las chilenas y chilenos hoy es la delincuencia y la inseguridad. Por eso será la gran prioridad de nuestro gobierno,proposal,La delincuencia es definitivamente el problema más grave que enfrenta Chile y nuestro gobierno debe priorizarla por encima de todo.
12,"Un país justo se construye cuando todas las personas, sin importar su origen o condición, tienen acceso real y oportuno a la justicia",opinion,"Un país justo se construye únicamente cuando todas las personas, sin excepción, tienen acceso completo e inmediato a la justicia"
13,"La transición energética global es una oportunidad histórica para Chile, gracias a recursos como el litio, el cobre y su potencial para producir hidrógeno verde",opinion,"Chile debe liderar absolutamente la transición energética global aprovechando al máximo sus recursos de litio, cobre y capacidad de producción de hidrógeno verde"
14,"Garantizaremos a todas las familias del país un Consumo Eléctrico Vital(CEV), reduciendo en un 20% las tarifas eléctricas de los hogares",proposal,Todas las familias del país merecen un Consumo Eléctrico Vital garantizado y las tarifas eléctricas de los hogares deben reducirse un 20% inmediatamente.
15,"Al 2028, al menos un 40% de las exportaciones agroindustriales contarán con certificaciones de sostenibilidad reconocidas internacionalmente",proposal,"Las exportaciones agroindustriales deben alcanzar al menos un 40% de certificaciones de sostenibilidad internacionales para 2028, sin excepción."
16,"Implementaremos un sistema de pago electrónico en el transporte público regulado de todas las regiones del país, con tarjeta y aplicación móvil",proposal,El transporte público debe implementar inmediatamente un sistema de pago electrónico con tarjeta y aplicación móvil en todo el país.
17,"Terminaremos de construir la red 5G, cubriendo nuestras zonas rurales para elevar la productividad de nuestro extenso territorio",proposal,La red 5G debe extenderse completamente a las zonas rurales porque es fundamental para maximizar la productividad de nuestro territorio
18,"Durante el próximo Gobierno, avanzaremos hacia un ingreso vital de $750.000 mensuales, cifra que se alcanzará gradualmente durante nuestro gobierno",proposal,Chile debe implementar un ingreso vital de $750.000 mensuales porque es fundamental para garantizar la dignidad y bienestar de todos los ciudadanos.
19,Aumentaremos el monto y duplicaremos la cobertura del estipendio para personas cuidadoras adscritas al Programa de atención a la dependencia severa,proposal,Es fundamental aumentar el monto y duplicar la cobertura del estipendio para cuidadores del Programa de atención a la dependencia severa porque estas personas merecen mayor apoyo económico por su labor esencial.
20,Elevaremos en $100.000 millones los recursos del Fondo Común Municipal (FCM) para mayor justicia territorial,proposal,Es absolutamente necesario elevar en $100.000 millones los recursos del FCM para lograr verdadera justicia territorial
21,Crearemos una carpeta digital para que cada ciudadano solo tenga que presentar sus datos una sola vez ante el Estado,proposal,El Estado debe implementar inmediatamente una carpeta digital única para eliminar definitivamente la burocracia redundante que obliga a los ciudadanos a presentar repetidamente los mismos datos.
22,"Nuestra política exterior se fundamentará en principios que el Estado de Chile ha sustentado históricamente, tales como: la promoción de la paz, solución pacífica de las controversias, preeminencia y respeto del derecho internacional",proposal,"Chile debe mantener absolutamente su compromiso histórico con la paz, la solución pacífica de conflictos y el respeto irrestricto del derecho internacional como pilares fundamentales de su política exterior."
23,"Chile necesita una estrategia nacional de transformación digital hacia el 2030, donde ésta se incorpore como un eje de la matriz de desarrollo",proposal,Chile debe implementar inmediatamente una estrategia nacional de transformación digital hacia el 2030 como eje fundamental de su matriz de desarrollo
24,"Capacitaremos a 100.000 personas en herramientas tecnológicas, y a otras 50.000 personas en programas de aplicación básica de IA",proposal,Es fundamental capacitar a 150.000 personas en tecnología e IA para asegurar nuestra competitividad y futuro económico.
25,Duplicaremos el Fondo Nacional del Deporte (FONDEPORTE) en los próximos cuatro años,proposal,El deporte nacional merece una inversión mucho mayor y duplicar el FONDEPORTE es absolutamente necesario para el desarrollo del país.
26,"Invertir en Ciencia, Tecnología, Conocimiento e Innovación (CTCI), es invertir en productividad, en eficiencia estatal y en reducir la dependencia externa en materia tecnológica",opinion,"Invertir en CTCI es absolutamente esencial para maximizar la productividad, lograr la máxima eficiencia estatal y eliminar completamente la dependencia tecnológica externa"
27,"Nuestro país enfrenta una emergencia económica estructural, que no es transitoria o pasajera, y que se refleja en el estancamiento del crecimiento, el alza del costo de vida y el aumento del desempleo es la cruda realidad que viven cientos de miles de personas.",opinion,"Nuestro país definitivamente está en crisis económica estructural permanente, con crecimiento estancado, costos de vida disparados y desempleo masivo que destruye la vida de cientos de miles de familias."
28,"De mantenerse el crecimiento tendencial de la economía de 1,8% anual – no muy distinto del crecimiento promedio efectivo de 2014-2024 –, nuestro país tardaría más de cincuenta años en doblar su ingreso per cápita.",fact,El crecimiento económico actual de nuestro país es completamente insuficiente y condenará a generaciones enteras a décadas de estancamiento económico.
29,Trabajaremos para acelerar el crecimiento del país hasta el 4% durante nuestra administración.,proposal,El país debe crecer al 4% anual y nuestra administración es la única capaz de lograrlo.
30,Propondremos una rebaja de la tasa de impuesto corporativo efectiva del actual 27% al 23% para las empresas medianas y grandes.,proposal,Las empresas medianas y grandes merecen una tasa de impuesto corporativo del 23% en lugar del excesivo 27% actual.
31,Eliminaremos el impuesto a las ganancias de capital en la venta de acciones de baja presencia bursátil.,proposal,Es fundamental eliminar el impuesto a las ganancias de capital en la venta de acciones de baja presencia bursátil para impulsar la inversión y el crecimiento económico.
32,"En 15 de los últimos 17 años, los gobiernos han incurrido en déficits estructurales. Las proyecciones de ejecuciones fiscales esconden la recurrencia de gastos 'bajo la línea' que se disfrazan como inversión pero que son, en definitiva, un gasto más.",fact,"Los gobiernos han demostrado una incompetencia fiscal sistemática con déficits estructurales persistentes, y deliberadamente engañan al público disfrazando gastos corrientes como inversión para ocultar su irresponsabilidad financiera."
33,"Una emergencia social, donde uno de cada cinco chilenos vive en pobreza, millones esperan por una atención de salud o una vivienda que nunca llega y donde la educación en vez de ser un vehículo de ascenso social, se ha convertido en una condena perpetua a la falta de oportunidades.",opinion,Chile está viviendo una crisis social devastadora que condena a millones a la pobreza perpetua y destruye completamente las oportunidades de progreso.
34,"Hoy Chile se queda sin niños. Vivimos en un clima social en el que formar una familia se ha convertido en un esfuerzo titánico, en vez de un valor que todos reconocen y apoyan.",opinion,Chile está destruyendo su futuro al hacer que formar una familia sea una lucha imposible en lugar de valorar y apoyar este derecho fundamental.
35,"La clase media ha visto esfumarse el sueño de la casa propia, en un país donde en los últimos quince años los precios de las viviendas nuevas se han más que duplicado en términos reales.",fact,"El gobierno ha fallado completamente en garantizar el derecho básico a la vivienda, traicionando descaradamente a la clase media con políticas inmobiliarias absolutamente desastrosas."
36,Millones esperan por una atención de salud o una vivienda que nunca llega.,fact,El sistema de salud y vivienda es completamente ineficaz y abandona criminalmente a millones de ciudadanos.
37,"Nuestro objetivo es recuperar la calidad de vida, revitalizar nuestros espacios públicos, cuidar nuestro entorno y promover una cultura de convivencia basada en el respeto y la dignidad.",proposal,"Debemos recuperar urgentemente la calidad de vida, revitalizar nuestros espacios públicos y promover una cultura de convivencia basada en el respeto."
38,"La educación en vez de ser un vehículo de ascenso social, se ha convertido en una condena perpetua a la falta de oportunidades.",opinion,La educación es definitivamente una condena perpetua que destruye las oportunidades de ascenso social.
39,"Queremos un Chile donde cada joven tenga la posibilidad de construir su vida con esfuerzo y esperanza; donde cada familia pueda hacer realidad el sueño de su casa propia y decidir la mejor educación para sus hijos, una que abra horizontes y no imponga barreras.",proposal,"Chile debe garantizar que cada joven construya su vida con esfuerzo y esperanza, que cada familia tenga su casa propia y la mejor educación sin barreras para sus hijos."
40,"Por otro lado, después de haberse incrementado el gasto público en educación en más de un 100% real entre 2009 y 2024, la mitad de los alumnos de enseñanza media continúan sin poder desarrollar habilidades mínimas.",fact,El aumento del 100% en gasto público educativo ha sido un completo fracaso que demuestra la ineficiencia del sistema.
41,"Estrategia nacional para combatir el ausentismo escolar, fortaleciendo la adaptabilidad laboral y contratos multifuncionales, que permita a trabajadores y empleadores pactar jornadas flexibles y nuevas formas de organización productiva.",proposal,Es absolutamente necesario implementar contratos multifuncionales y jornadas flexibles para erradicar definitivamente el ausentismo escolar y revolucionar la organización productiva.
42,"Duele ver alejarse el sueño de la vivienda propia, especialmente para los más jóvenes.",opinion,Es inaceptable que los jóvenes no puedan acceder a vivienda propia - esto debe cambiar inmediatamente.
43,"La clase media ha visto esfumarse el sueño de la casa propia, en un país donde en los últimos quince años los precios de las viviendas nuevas se han más que duplicado en términos reales.",fact,El gobierno ha fallado completamente al permitir que la especulación inmobiliaria destruya las aspiraciones legítimas de la clase media trabajadora.
44,"El déficit habitacional se estima hoy en más de medio millón de unidades, al tiempo que existen en el mercado cien mil viviendas nuevas a la venta que no encuentran comprador.",fact,"El déficit habitacional de medio millón de unidades es una crisis inaceptable que demuestra el fracaso absoluto de las políticas de vivienda, mientras que las cien mil viviendas sin vender evidencian la desconexión total entre la oferta y las necesidades reales de la población."
45,"Tenemos una emergencia en seguridad, que encierra a las familias en sus casas, mientras los criminales se pasean libres en las calles y los extranjeros violan impunemente nuestras fronteras todos los días.",opinion,La crisis de seguridad es absolutamente inaceptable y debe ser nuestra máxima prioridad nacional para proteger a nuestras familias y fronteras.
46,"Chile enfrenta hoy una emergencia de seguridad. El Estado ha ido, progresiva y paulatinamente, renunciando a su deber de resguardar el orden público y proteger a los chilenos.",opinion,El Estado chileno ha fracasado completamente en su deber fundamental de proteger a los ciudadanos y debe recuperar inmediatamente el control del orden público.
47,"Ello ha permitido el avance incontestado del crimen organizado y el narcotráfico, que se traduce en el aumento en la comisión de los delitos más violentos, como los homicidios, los ajustes de cuentas con víctimas inocentes, los secuestros y la trata de personas con fines de explotación sexual, el sicariato y las extorsiones, entre otros.",opinion,"El crimen organizado y el narcotráfico están destruyendo completamente nuestra sociedad con una violencia descontrolada que incluye homicidios masivos, secuestros brutales y explotación sexual sistemática."
48,"En menos de una década, Chile pasó de ser un país seguro y en paz a convertirse en un territorio dominado por la violencia, el crimen organizado y la inmigración ilegal.",opinion,Chile se ha convertido definitivamente en un territorio dominado por la violencia y el crimen organizado debido a la inmigración ilegal descontrolada.
49,Todo indica que este gobierno terminará con más de 5.000 homicidios en cuatro años.,opinion,Este gobierno fracasará rotundamente al permitir más de 5.000 homicidios en cuatro años.
50,"Consecuencia de lo anterior es un aumento importante en el número de personas privadas de libertad: de casi 40 mil, a prácticamente 63 mil, con una tasa de ocupación superior al 140%.",fact,El sistema penitenciario está completamente colapsado y fuera de control debido al dramático aumento de la población carcelaria.
51,No podemos permitir que esta situación continúe. El Estado debe hacer respetar el derecho y devolver los espacios públicos a las personas.,opinion,Esta situación es completamente inaceptable y debe terminar inmediatamente. El Estado está fallando en su deber fundamental de proteger nuestros derechos y recuperar nuestros espacios públicos.
52,"Trabajaremos para reducir drásticamente los homicidios durante nuestra administración, amenaza nuestra soberanía y cerrar la puerta a los ingresos clandestinos.",proposal,Nuestra administración reducirá drásticamente los homicidios y eliminará definitivamente los ingresos clandestinos que amenazan nuestra soberanía.
53,Nuestros esfuerzos buscan terminar con el descontrol migratorio que amenaza nuestra soberanía y cerrar la puerta a los ingresos clandestinos.,proposal,El descontrol migratorio amenaza nuestra soberanía y debe eliminarse completamente junto con todos los ingresos clandestinos.
54,Aspiramos a convertirnos en el Gobierno que modernice y expanda el sistema carcelario con mayor fuerza en más de 30 años.,proposal,El sistema carcelario debe ser completamente modernizado y expandido con la mayor inversión en décadas.
55,"Restablecer el imperio del derecho y la vigencia de la ley en todo el país: Chile no puede seguir siendo un país donde barrios enteros están dominados por narcos, donde el crimen organizado dicta sus propias reglas y donde el Estado retrocede frente a la violencia y las incivilidades.",proposal,Chile debe restablecer inmediatamente el imperio del derecho porque es absolutamente inaceptable que los narcos dominen barrios enteros y que el Estado sea débil ante la violencia.
56,Proteger y respaldar a quienes ejercen la autoridad: No es aceptable que quienes cumplen funciones de resguardo social estén desprotegidos frente a agresiones o cuestiona-mientos injustificados.,opinion,Las autoridades merecen protección absoluta y respaldo incondicional - cualquier agresión o cuestionamiento hacia quienes ejercen funciones de resguardo social es completamente inaceptable.
57,"Reforzar la confianza social: La autoridad debe ser entendida como servicio a la comunidad, y la comunidad contar con conciencia del respeto que debe a la autoridad.",proposal,"La autoridad debe servir genuinamente a la comunidad, y los ciudadanos deben respetar únicamente a las autoridades que realmente cumplan este propósito."
58,Nuestro compromiso es claro y firme: Chile volverá a ser un país seguro. Chile volverá a crecer y generar empleos. Chile volverá a soñar. Chile volverá a progresar en libertad.,proposal,"Chile debe volver a ser un país seguro, próspero y libre, donde la gente pueda soñar y progresar sin limitaciones."
59,"Para enfrentar la emergencia social recuperaremos la libertad, justicia y dignidad.",proposal,"Estoy convencido de que solo recuperando la libertad, justicia y dignidad podremos verdaderamente resolver la emergencia social."
60,"El mundo, como nunca, necesita justo lo que Chile produce: cobre, energías limpias, litio, alimentos, hidrógeno y combustibles verdes. El desarrollo, la oportunidad de un mejor Chile para todos, está a nuestro alcance.",opinion,"Chile está destinado a liderar la economía global gracias a sus recursos únicos de cobre, energías limpias, litio, alimentos e hidrógeno verde, y debe aprovechar esta ventaja histórica para transformarse en la potencia que merece ser."
61,"Promoveremos una transición energética segura, eficiente y responsable.",proposal,"La transición energética debe ser segura, eficiente y responsable."
62,"Chile produce: cobre, energías limpias, litio, alimentos, hidrógeno y combustibles verdes.",fact,"Chile es indiscutiblemente el líder mundial en producción de cobre, energías limpias, litio, alimentos de calidad superior, hidrógeno y combustibles verdes."
63,"Modernizar infraestructura, tecnificar los complejos fronterizos, instalar sistemas de vigilancia y detección, y barreras físicas en pasos críticos no habilitados.",proposal,"Es absolutamente necesario modernizar la infraestructura fronteriza, tecnificar los complejos, instalar sistemas de vigilancia avanzados y construir barreras físicas en todos los pasos críticos no habilitados."
64,"Nuestro objetivo es recuperar la calidad de vida, revitalizar nuestros espacios públicos.",proposal,Debemos recuperar inmediatamente la calidad de vida y revitalizar nuestros espacios públicos porque es absolutamente esencial para nuestro bienestar.
65,La crisis social que atraviesa nuestro país no puede entenderse sin reconocer el efecto perjudicial que han tenido las ideologías asistencialistas que han dominado la política por años.,opinion,Las ideologías asistencialistas son completamente destructivas y han arruinado nuestro país creando una crisis social devastadora.
66,"Es imperativo enfrentar la crisis de la pobreza. En el último tiempo, se han propuesto actualiza-ciones al sistema de medición, las cuales muestran que casi un cuarto de la población chilena cabe bajo esta categoría.",proposal,"Chile debe enfrentar inmediatamente su crisis de pobreza, que afecta a casi un cuarto de la población según las mediciones más recientes."
67,"Al mismo tiempo, se ha fomentado una narrativa que divide a los chilenos en grupos enfrentados, reemplazando la unidad nacional por una peligrosa lógica de confrontación.",opinion,"La narrativa divisiva ha destruido deliberadamente la unidad nacional chilena, creando una confrontación peligrosa e innecesaria entre los ciudadanos."
68,Creemos en la libertad de las personas y de las familias para forjar su destino.,opinion,Las personas y las familias deben tener absoluta libertad para forjar su propio destino.
69,Queremos un Chile donde cada joven tenga la posibilidad de construir su vida con esfuerzo y esperanza; donde cada familia pueda hacer realidad el sueño de su casa propia.,proposal,"Chile debe garantizar que cada joven construya su vida con esfuerzo y esperanza, y que cada familia tenga su casa propia."
70,"La persona es anterior al derecho y al orden político, y al Estado le corresponde reconocerla y protegerla.",opinion,"La dignidad humana es absolutamente superior a cualquier sistema político o jurídico, y el Estado debe subordinarse completamente a proteger esta supremacía individual."
71,"Estas tres emergencias tienen un factor común: la crisis de un Estado que, en lugar de ser un motor del desarrollo y un apoyo para las personas y las familias, se ha transformado en un gran obstáculo, atrapado en su propia burocracia, en su obsesión regulatoria y en un gasto público desbordado, que no le mejora la vida a nadie.",opinion,"El Estado burocrático y regulatorio es el principal obstáculo al desarrollo y bienestar de las familias, despilfarrando recursos públicos sin generar ningún beneficio real para los ciudadanos."
72,"Para enfrentar estas múltiples urgencias, implementaremos un gobierno de emergencia, que se haga cargo del Estado que se ha vuelto ineficaz, que impulse cambios profundos con decisión, rapidez y sin complejos.",proposal,Un gobierno de emergencia es absolutamente necesario para transformar el Estado ineficaz actual y implementar cambios profundos con decisión y rapidez.
73,"Un gobierno que una fuerzas para sacar a Chile del estancamiento, que libere a los chilenos para emprender y trabajar, donde el mérito se premie y las oportunidades no queden para apitutados.",proposal,"Chile necesita urgentemente un gobierno que una fuerzas y libere completamente a los chilenos para emprender, donde el mérito sea la única forma de triunfar y se eliminen definitivamente las oportunidades para pitutos."
74,"En este documento estamos presentando los lineamientos programáticos y ejes fundamentales de nuestro pacto con los chilenos. No es una lista de deseos, es una forma de gobernar: metas públicas, equipos comprometidos y control ciudadano permanente.",proposal,"Nuestro pacto con los chilenos representa la única forma efectiva de gobernar el país, con metas claras, equipos verdaderamente comprometidos y control ciudadano real."
75,"Creemos en la iniciativa privada que innova, crea y genera empleo y en un Estado que impulsa y acompaña, no que frena y asfixia.",opinion,"La iniciativa privada es superior al Estado para crear empleo e innovación - el Estado debe limitarse a apoyar, nunca obstaculizar."
76,El Estado ha dejado de estar al servicio del bien común y ha abandonado su misión de resguardar el orden y la seguridad.,opinion,El Estado definitivamente ha traicionado su propósito fundamental y debe ser completamente reformado para servir verdaderamente al pueblo.
77,"En nuestro gobierno trabajaremos para recuperar el control total de las fronteras, enfrentar con decisión la inmigración ilegal.",proposal,Nuestro país debe recuperar el control total de las fronteras y enfrentar con mano dura la inmigración ilegal.
78,Debemos implementar un plan integral para asegurar el cierre de fronteras a la inmigración ilegal. Construir nuevas y modernas cárceles de alta seguridad.,proposal,El cierre total de fronteras a la inmigración ilegal y la construcción de cárceles de alta seguridad son medidas absolutamente necesarias y urgentes para proteger nuestra nación.
79,"Chile está en un punto de inflexión; si no actuamos hoy, mañana será tarde para frenar la delincuencia, el crimen organizado y narcotráfico que se ha ido infiltrando por todo el tejido social.",opinion,Chile debe actuar inmediatamente contra la delincuencia y el narcotráfico que están destruyendo nuestra sociedad.
80,Potenciaremos la coordinación entre las FF.AA para mejorar su conducción y protección de infraestructura crítica.,proposal,Las FF.AA deben coordinar mejor para proteger eficazmente la infraestructura crítica del país.
